#,LVL,YEAR,RUNNERS,EXP_R_OUTS_0,EXP_R_OUTS_1,EXP_R_OUTS_2
1,mlb,2019,0,0.5439,0.2983,0.1147
2,mlb,2019,3,1.3685,0.9528,0.3907
3,mlb,2019,20,1.1465,0.7134,0.3391
4,mlb,2019,23,1.9711,1.3679,0.6151
5,mlb,2019,100,0.9345,0.5641,0.2422
6,mlb,2019,103,1.7591,1.2186,0.5182
7,mlb,2019,120,1.5371,0.9792,0.4666
8,mlb,2019,123,2.3617,1.6337,0.7426
1,mlb,2018,0,0.4997,0.2733,0.1015
2,mlb,2018,3,1.3076,0.9127,0.3614
3,mlb,2018,20,1.0801,0.6673,0.3205
4,mlb,2018,23,1.888,1.3067,0.5804
5,mlb,2018,100,0.8721,0.5284,0.2234
6,mlb,2018,103,1.68,1.1678,0.4833
7,mlb,2018,120,1.4525,0.9224,0.4424
8,mlb,2018,123,2.2604,1.5618,0.7023
1,mlb,2017,0,0.523,0.2858,0.1094
2,mlb,2017,3,1.3618,0.9325,0.384
3,mlb,2017,20,1.1095,0.6899,0.3298
4,mlb,2017,23,1.9483,1.3366,0.6044
5,mlb,2017,100,0.8945,0.5407,0.2349
6,mlb,2017,103,1.7333,1.1874,0.5095
7,mlb,2017,120,1.481,0.9448,0.4553
8,mlb,2017,123,2.3198,1.5915,0.7299
1,mlb,2016,0,0.5062,0.2737,0.1028
2,mlb,2016,3,1.3163,0.9225,0.3638
3,mlb,2016,20,1.0932,0.668,0.3174
4,mlb,2016,23,1.9033,1.3168,0.5784
5,mlb,2016,100,0.8744,0.5263,0.2199
6,mlb,2016,103,1.6845,1.1751,0.4809
7,mlb,2016,120,1.4614,0.9206,0.4345
8,mlb,2016,123,2.2715,1.5694,0.6955
1,mlb,2015,0,0.479,0.2572,0.0996
2,mlb,2015,3,1.3045,0.8916,0.3606
3,mlb,2015,20,1.0762,0.6487,0.3154
4,mlb,2015,23,1.9017,1.2831,0.5764
5,mlb,2015,100,0.8427,0.5004,0.2203
6,mlb,2015,103,1.6682,1.1348,0.4813
7,mlb,2015,120,1.4399,0.8919,0.4361
8,mlb,2015,123,2.2654,1.5263,0.6971
1,mlb,2014,0,0.4552,0.2394,0.0862
2,mlb,2014,3,1.2866,0.8873,0.3312
3,mlb,2014,20,1.0393,0.6235,0.2901
4,mlb,2014,23,1.8707,1.2714,0.5351
